PID; W; D; Wr; Dr; tot; Target; Start; End; MouseDown; Error; Browser; OS; Invisible; Block;
0; 13.5; 180; 3; 40; 10; 1; 1427991813416; 1427991814208; 1427991814097; 0; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 6; 1427991814208; 1427991815381; 1427991815204; 0; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 2; 1427991815381; 1427991817551; 1427991817471; 1; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 7; 1427991817551; 1427991818358; 1427991818351; 0; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 3; 1427991818358; 1427991819242; 1427991819236; 0; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 8; 1427991819242; 1427991820366; 1427991820356; 0; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 4; 1427991820366; 1427991821204; 1427991821197; 0; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 9; 1427991821204; 1427991822005; 1427991821998; 0; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 5; 1427991822005; 1427991823569; 1427991823563; 1; Chrome; MacOS; 1; 1
0; 13.5; 180; 3; 40; 10; 0; 1427991823569; 1427991824498; 1427991824492; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 1; 1427991836957; 1427991837598; 1427991837445; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 6; 1427991837598; 1427991838238; 1427991838142; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 2; 1427991838238; 1427991839087; 1427991838974; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 7; 1427991839087; 1427991839735; 1427991839623; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 3; 1427991839735; 1427991840312; 1427991840216; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 8; 1427991840312; 1427991840920; 1427991840808; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 4; 1427991840920; 1427991841521; 1427991841400; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 9; 1427991841521; 1427991842144; 1427991842024; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 5; 1427991842144; 1427991842778; 1427991842665; 0; Chrome; MacOS; 1; 1
0; 27; 180; 6; 40; 10; 0; 1427991842778; 1427991843361; 1427991843257; 0; Chrome; MacOS; 1; 1
